Price,Rating,city,Owner,Fuel_Type,Transmission,RTO,Insurance,Insurance_Type,Company,Model,Kilometres_travelled,year,month
174699.0,4,3686,First ,petrol,manual,RTOAP09,,Expired,maruti,alto lxi,34854.0,2010,5
333999.0,4.2,3686,Second ,petrol,manual,RTOAP28,6/8/2021,Comp,maruti,wagon r 1.0 vxi,39541.0,2013,7
353199.0,4.3,3686,Second ,petrol,manual,RTOAP28,28/4/2021,Comp,maruti,wagon r 1.0 vxi,23233.0,2014,3
237899.0,4.4,3686,First ,petrol,manual,RTOAP13,1/1/2022,Comp,hyundai,eon d lite plus,27748.0,2013,11
300699.0,4.4,3686,Second ,petrol,manual,RTOTS10,,Expired,hyundai,eon era plus,12238.0,2017,8
507199.0,4.3,3686,First ,petrol,manual,RTOAP09,30/3/2021,Expired,honda,city v mt petrol,34377.0,2013,2
188147.0,3.9,3686,First ,petrol,manual,RTOAP28,,Expired,maruti,alto lxi,44132.0,2008,10
311099.0,4.3,3686,First ,petrol,manual,RTOAP11,1/12/2021,Third_party,honda,brio 1.2 v mt i vtec,31719.0,2012,9
607099.0,4.7,3686,First ,petrol,,RTOTS07,,Expired,hyundai,grand i10 sportz (o) 1.2 at vtvt,17487.0,2017,4
472099.0,4.6,3686,First ,petrol,automatic,RTOTS10,15/8/2021,Zero_Dep,maruti,celerio zxi opt amt,20010.0,2017,7
369799.0,4.5,3686,First ,petrol,manual,RTOTS07,31/12/2020,Third_party,maruti,alto k10 vxi ,19279.0,2017,11
233459.0,4.2,3686,Second ,petrol,manual,RTOAP28,,Expired,maruti,alto 800 lxi,40557.0,2012,12
418699.0,4.4,3686,First ,petrol,manual,RTOAP28,,Expired,hyundai,grand i10 sports 1.2 vtvt,39422.0,2013,11
464915.0,4,3686,Second ,diesel,automatic,RTOTS07,31/5/2021,Third_party,chevrolet,captiva ltz awd at,19832.0,2011,2
333499.0,4.3,3686,First ,petrol,manual,RTOAP28,,Expired,maruti,ritz vxi bs iv,45317.0,2013,2
178699.0,4,3686,First ,petrol + lpg,manual,RTOAP10,27/10/2021,Comp,hyundai,santro xing gl,84985.0,2008,1
257899.0,4.3,3686,First ,petrol,manual,RTOAP09,16/9/2021,Comp,maruti,alto 800 lxi,47365.0,2013,8
559299.0,3.9,3686,First ,petrol,manual,RTOTS07,,Expired,ford,ecosport 1.5 titanium ti vct,44368.0,2015,7
213299.0,4.2,3686,First ,petrol,manual,RTOAP09,,Expired,maruti,a star vxi,40253.0,2008,10
350799.0,4.2,3686,First ,petrol,manual,RTOTS07,23/3/2021,Comp,maruti,wagon r 1.0 vxi,53279.0,2015,3
454799.0,4.7,3686,First ,petrol,manual,RTOTS11,2/2/2022,Comp,hyundai,grand i10 sports 1.2 vtvt,46242.0,2016,1
243989.0,4.2,3686,Second ,petrol,manual,RTOAP28,,Expired,maruti,zen estilo vxi,29214.0,2010,1
290099.0,3.9,3686,Second ,petrol,,RTOTS07,,Comp,maruti,alto k10 vxi amt,46410.0,2014,11
421699.0,4.3,3686,First ,diesel,manual,RTOAP09,,Comp,maruti,swift vdi,62206.0,2012,12
438399.0,4.6,3686,First ,petrol,manual,RTOTS07,2/3/2023,Expired,maruti,eeco 5 str with ac plushtr,17082.0,2020,2
518099.0,4.4,3686,First ,petrol,manual,RTOTS13,,Expired,hyundai,elite i20 sportz 1.2,61923.0,2015,1
247957.0,4.2,3686,First ,petrol,manual,RTOAP28,,Expired,maruti,alto lxi,38938.0,2011,7
598875.0,4.5,3686,First ,petrol,manual,RTOTS07,27/5/2021,Comp,hyundai,grand i10 sportz o 1.2,15609.0,2017,4
678699.0,4.9,3686,First ,petrol,manual,RTOTS07,,Expired,maruti,swift zxi,3587.0,2016,12
411398.0,4.3,3686,Third ,petrol,manual,RTOTS07,29/8/2021,Third_party,honda,brio 1.2 s mt i vtec,46727.0,2015,3
380599.0,4.6,3686,First ,petrol,manual,RTOTS07,19/2/2021,Zero_Dep,maruti,wagon r 1.0 vxi,48243.0,2015,1
584699.0,4.9,3686,First ,petrol,manual,RTOTS08,9/7/2021,Zero_Dep,hyundai,grand i10 sportz 1.2 kappa vtvt,6891.0,2019,4
182599.0,4.1,3686,Second ,petrol,manual,RTOAP10,,Expired,hyundai,santro xing gls,50156.0,2009,1
339799.0,4.6,3686,First ,petrol,manual,RTOTS08,22/4/2022,Zero_Dep,maruti,alto 800 lxi,20321.0,2019,1
173399.0,4,3686,First ,petrol,manual,RTOAP28,28/4/2021,Comp,maruti,alto lxi,29879.0,2008,1
672599.0,4.8,3686,First ,petrol,manual,RTOTS09,19/11/2021,Comp,hyundai,elite i20 asta 1.2,11962.0,2018,8
360599.0,4.3,3686,First ,petrol,manual,RTOTS07,,Expired,maruti,eeco 7 str,54919.0,2016,11
241199.0,4.3,3686,First ,petrol,manual,RTOAP29,,Expired,hyundai,santro xing gls,31094.0,2009,4
604299.0,4.5,3686,First ,diesel,manual,RTOTS08,20/2/2021,Comp,maruti,swift dzire vdi bs iv,59826.0,2015,1
153399.0,4.3,3686,First ,petrol,manual,RTOAP09,26/2/2021,Comp,maruti,alto lxi,59696.0,2009,1
281599.0,4.2,3686,First ,petrol,manual,RTOAP11,4/5/2021,Comp,hyundai,i10 magna 1.2 kappa2,28790.0,2010,1
531299.0,4.3,3686,First ,petrol,manual,RTOTS07,,Expired,maruti,swift dzire vxi 1.2 bs iv,39309.0,2015,7
338799.0,4.3,3686,First ,petrol,,RTOTS08,,Expired,maruti,alto k10 vxi amt,60866.0,2016,11
181499.0,4,3686,First ,petrol,manual,RTOAP10,17/8/2020,Comp,hyundai,santro xing gls,67985.0,2010,6
619199.0,4.5,3686,First ,petrol,automatic,RTOTS08,,Third_party,honda,jazz 1.2 v at,34345.0,2016,8
590199.0,4.6,3686,First ,diesel,,RTOTS07,,Comp,maruti,swift dzire vdi abs,59957.0,2015,10
354599.0,4.5,3686,First ,petrol,automatic,RTOTS07,,Expired,renault,kwid rxt 1.0 easy-r at option,38747.0,2018,6
341933.0,4,3686,First ,petrol,manual,RTOAP11,14/9/2021,Comp,hyundai,i20 sportz 1.2 o,81726.0,2010,8
639999.0,4.8,3686,First ,petrol,manual,RTOTS08,14/3/2021,Third_party,maruti,baleno zeta 1.2 k12 ,22594.0,2016,12
261499.0,4.3,3686,First ,petrol,manual,RTOAP28,27/3/2021,Comp,maruti,alto 800 lxi,57525.0,2013,1
486580.0,4.1,3686,First ,petrol + cng,,RTOTS08,18/4/2021,Zero_Dep,hyundai,new santro 1.1 magna cng mt,27743.0,2018,11
336299.0,4.5,3686,First ,petrol,manual,RTOTS07,1/6/2021,NA,maruti,alto k10 vxi ,37328.0,2017,6
432199.0,4.5,3686,First ,petrol,manual,RTOTS15,20/9/2021,Third_party,maruti,celerio x vxi,31973.0,2018,8
282899.0,4.3,3686,First ,petrol + lpg,manual,RTOAP28,9/9/2021,Comp,hyundai,santro xing gls lpg,54368.0,2011,6
343899.0,4.2,3686,Second ,petrol,manual,RTOTS12,,Expired,maruti,wagon r 1.0 vxi,59094.0,2016,2
299799.0,4.3,3686,First ,petrol,manual,RTOTS07,7/9/2021,Comp,maruti,alto 800 lxi,38472.0,2015,4
318599.0,4.2,3686,Second ,petrol,manual,RTOAP28,31/12/2021,Comp,hyundai,i10 sportz 1.2 kappa2,68764.0,2011,4
151899.0,4,3686,First ,petrol,manual,RTOAP11,20/12/2021,Expired,maruti,zen estilo lxi,45920.0,2007,7
409175.0,4.3,3686,First ,petrol,manual,RTOTS07,4/1/2022,Third_party,maruti,wagon r 1.0 vxi,53570.0,2015,12
272142.0,4.2,3686,Second ,petrol,manual,RTOAP29,2/12/2021,Comp,hyundai,i10 magna 1.2,66427.0,2009,3
694799.0,4.5,3686,First ,petrol,automatic,RTOTS07,30/10/2021,Third_party,maruti,swift zxi amt,39712.0,2018,10
371470.0,4.1,3686,First ,petrol,manual,RTOTS08,,Expired,hyundai,eon magna plus,25439.0,2017,11
279599.0,3.8,3686,First ,petrol + lpg,manual,RTOAP28,28/9/2021,Comp,hyundai,i10 magna 1.1 lpg,87828.0,2012,9
271699.0,3.9,3686,Second ,diesel,manual,RTOAP28,19/6/2021,Expired,ford,figo 1.4 titanium duratorq,90368.0,2013,1
497400.0,4.4,3686,First ,petrol,manual,RTOTS08,31/12/2021,Zero_Dep,maruti,wagon r 1.0 vxi,27797.0,2017,12
719672.0,4.4,3686,First ,petrol,automatic,RTOTS10,27/7/2021,Third_party,maruti,baleno zeta 1.2 k12 amt ,29197.0,2018,2
494999.0,4.5,3686,First ,petrol,manual,RTOTS10,16/3/2021,Zero_Dep,maruti,ignis delta 1.2 k12 ,31925.0,2017,3
671205.0,4.7,3686,First ,petrol,,RTOTS08,6/2/2022,Expired,ford,freestyle titanium 1.2 ti-vct mt,16141.0,2019,1
452753.0,4.4,3686,Second ,diesel,manual,RTODL5C,,Expired,maruti,s cross zeta 1.3,74127.0,2015,8
343740.0,4.1,3686,First ,petrol,manual,RTOTS08,3/7/2021,Comp,hyundai,eon era plus,40681.0,2016,3
560885.0,4.5,3686,Second ,petrol,manual,RTOTS09,29/9/2020,Zero_Dep,maruti,baleno sigma 1.2 k12,28156.0,2015,12
